Timestamp,User,EventType,FilePath,Details
2026-09-23 15:52:12,Ares Trafo,CREATED,C:\Users\Ares Trafo\Desktop\watchdog_test.xlsx,
2026-09-23 15:52:12,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\watchdog_test.xlsx,
2026-09-23 15:52:18,Ares Trafo,DELETED,C:\Users\Ares Trafo\Desktop\watchdog_test.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\KALİBRASYON_TAKİP_LİSTESİ(2).xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\500002 - 01.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\23146-1.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\sound level.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\windingres_calc.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\22962-01 Turn Ratıo.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\2XTR 201401_HATTA_188 MVA_TİP_TESTİ.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\500012.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\Winder - FAT Schedule.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\Kalibrasyon_Raporlari.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\23287 Turn Ratıo.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\23287-1.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\22997 Turn Ratıo.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\22997-1.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\EN-FR-026  Yıllık izin talep formu Rev.01.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\EN-FR-100 Fazla mesai talep formu.xls,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\22952 Turn Ratıo.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\22950-1.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\ShortCircuitWithstand.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\EN-FR-128  İzin formu.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\300258 - 01 - aktif.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\TEDAS_SONDURUM_22.06.2026.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\23216-4.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\eng-trafo_basinc_test_onay_formu.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\FS-7.6-01 Ölçüm Belirsiliği Hesaplama Formu_Rev.02-10.10.2025-2.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\trafo_basinc_test_onay_formu.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\500007.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\Winder - FAT Schedule - 23564.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\400003 - 01.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\des-elec nüveler.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\500002 - Accredited Test Report.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,"C:\Users\Ares Trafo\Desktop\300147 - (400 kVA 20(10)-0,4 kV Dyn5 Tier2) - Accredited Test Report.xlsx",
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\300294.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\300170 - 01 ISINMA RAPORU.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\RUTİN TEST HAM VERİ KAYIT FORMU - ENGLISH.xlsx,
2026-09-23 16:11:27,Ares Trafo,MODIFIED,C:\Users\Ares Trafo\Desktop\tap_voltage_calculator.xlsx,
